,dissatisfied,satisfied,accuracy,macro avg,weighted avg
precision,0.9300986842105263,0.9363911056016115,0.9335038363171355,0.933244894906069,0.9334890622783992
recall,0.9253636363636364,0.9404715586335693,0.9335038363171355,0.9329175974986028,0.9335038363171355
f1-score,0.9277251184834123,0.9384268964981753,0.9335038363171355,0.9330760074907938,0.9334912729116425
support,11000.0,12851.0,0.9335038363171355,23851.0,23851.0
